Net Status Report
Filename     : D:\我的PCB工程\费院长项目理疗仪\理疗仪PCB-E3\RD3399B\RD3399-20181013_SCH\RD3399-20181026.PCBDOC
Date         : 2020/2/8
Time         : 19:47:40
Time Elapsed : 00:00:00

Nets, Layer, Length
    #HPO_L, Signal Layers Only, 19.8657mm
    #HPO_R, Signal Layers Only, 17.8062mm
    3G_EN, Signal Layers Only, 104.8366mm
    5V_EN, Signal Layers Only, 153.9844mm
    ADC2, Signal Layers Only, 0mm
    ADC_IN0, Signal Layers Only, 0mm
    ADC_IN3, Signal Layers Only, 0mm
    ADC_IN4, Signal Layers Only, 0mm
    ADKEY_IN, Signal Layers Only, 76.8546mm
    ANT, Signal Layers Only, 4.8794mm
    AUX_IN_1P, Signal Layers Only, 0mm
    AUX_IN_3P, Signal Layers Only, 0mm
    BT_HOST_WAKE, Signal Layers Only, 60.8869mm
    BT_RST, Signal Layers Only, 26.3192mm
    BT_WAKE, Signal Layers Only, 92.6989mm
    CAMERA_RST1_L, Signal Layers Only, 0mm
    CAMERA_RST_L, Signal Layers Only, 0mm
    CHG_CC_INT_L, Signal Layers Only, 0mm
    CIF_CLKI, Signal Layers Only, 0mm
    CIF_CLKO, Signal Layers Only, 0mm
    CIF_D0, Signal Layers Only, 0mm
    CIF_D1, Signal Layers Only, 0mm
    CIF_D2, Signal Layers Only, 0mm
    CIF_D3, Signal Layers Only, 0mm
    CIF_D4, Signal Layers Only, 0mm
    CIF_D5, Signal Layers Only, 0mm
    CIF_D6, Signal Layers Only, 0mm
    CIF_D7, Signal Layers Only, 0mm
    CIF_HREF, Signal Layers Only, 0mm
    CIF_VSYNC, Signal Layers Only, 0mm
    DVP_PDN0_H, Signal Layers Only, 0mm
    DVP_PDN1_H, Signal Layers Only, 0mm
    EDPAUXN, Signal Layers Only, 0mm
    EDPAUXP, Signal Layers Only, 0mm
    EDP_TX0N, Signal Layers Only, 0mm
    EDP_TX0P, Signal Layers Only, 0mm
    EDP_TX1N, Signal Layers Only, 0mm
    EDP_TX1P, Signal Layers Only, 0mm
    EDP_TX2N, Signal Layers Only, 0mm
    EDP_TX2P, Signal Layers Only, 0mm
    EDP_TX3N, Signal Layers Only, 0mm
    EDP_TX3P, Signal Layers Only, 0mm
    GND, Signal Layers Only, 544.6806mm
    GPIO0_B0, Signal Layers Only, 81.404mm
    GPIO0_B5, Signal Layers Only, 0mm
    GPIO1_A1, Signal Layers Only, 0mm
    GPIO1_C2, Signal Layers Only, 31.5337mm
    GPIO1_C4, Signal Layers Only, 0mm
    GPIO1_C6, Signal Layers Only, 20.4495mm
    GPIO1_C7, Signal Layers Only, 0mm
    GPIO4_C5_3V, Signal Layers Only, 0mm
    GPIO4_D0_3V, Signal Layers Only, 89.318mm
    GPIO4_D2_3V0, Signal Layers Only, 0mm
    GPIO4_D5_3V, Signal Layers Only, 58.4923mm
    HDMI_CEC, Signal Layers Only, 0mm
    HDMI_TX0N, Signal Layers Only, 0mm
    HDMI_TX0P, Signal Layers Only, 0mm
    HDMI_TX1N, Signal Layers Only, 0mm
    HDMI_TX1P, Signal Layers Only, 0mm
    HDMI_TX2N, Signal Layers Only, 0mm
    HDMI_TX2P, Signal Layers Only, 0mm
    HDMI_TXCN, Signal Layers Only, 0mm
    HDMI_TXCP, Signal Layers Only, 0mm
    HOST0_DM, Signal Layers Only, 71.5967mm
    HOST0_DP, Signal Layers Only, 71.5967mm
    HOST1_DM, Signal Layers Only, 61.6444mm
    HOST1_DP, Signal Layers Only, 62.4011mm
    HP_DET_H, Signal Layers Only, 66.0067mm
    HUB_5V, Signal Layers Only, 52.5965mm
    HUB_RST, Signal Layers Only, 56.2917mm
    I2C1_SCL, Signal Layers Only, 51.5613mm
    I2C1_SDA, Signal Layers Only, 50.7643mm
    I2C4_SCL, Signal Layers Only, 31.0646mm
    I2C4_SDA, Signal Layers Only, 35.2959mm
    I2C_SCL_HDMI, Signal Layers Only, 0mm
    I2C_SDA_HDMI, Signal Layers Only, 0mm
    I2S0_LRCK_RX, Signal Layers Only, 57.1994mm
    I2S0_SCLK, Signal Layers Only, 45.2836mm
    I2S0_SDI0, Signal Layers Only, 57.9192mm
    I2S0_SDO0, Signal Layers Only, 55.4257mm
    I2S0_SDO1, Signal Layers Only, 0mm
    I2S0_SDO2, Signal Layers Only, 0mm
    I2S0_SDO3, Signal Layers Only, 0mm
    I2S1_LRCK_RX, Signal Layers Only, 0mm
    I2S1_LRCK_TX, Signal Layers Only, 0mm
    I2S1_SCLK, Signal Layers Only, 0mm
    I2S1_SDI0, Signal Layers Only, 0mm
    I2S1_SDO0, Signal Layers Only, 0mm
    I2S_CLK, Signal Layers Only, 44.8936mm
    IR_RX, Signal Layers Only, 0mm
    LCD_BL_PWM, Signal Layers Only, 34.9197mm
    LCD_EN, Signal Layers Only, 57.1046mm
    LCD_RST, Signal Layers Only, 35.3356mm
    LOUTL_P, Signal Layers Only, 0mm
    LOUTR_N, Signal Layers Only, 0mm
    MAC_CLK, Signal Layers Only, 0mm
    MAC_MDC, Signal Layers Only, 0mm
    MAC_MDIO, Signal Layers Only, 0mm
    MAC_RXCLK, Signal Layers Only, 0mm
    MAC_RXD0, Signal Layers Only, 0mm
    MAC_RXD1, Signal Layers Only, 0mm
    MAC_RXD2, Signal Layers Only, 0mm
    MAC_RXD3, Signal Layers Only, 0mm
    MAC_RXDV, Signal Layers Only, 0mm
    MIC1N, Signal Layers Only, 0mm
    MIC1P, Signal Layers Only, 0mm
    MICBIAS1, Signal Layers Only, 0mm
    MIPI_RX0_CLKN, Signal Layers Only, 0mm
    MIPI_RX0_CLKP, Signal Layers Only, 0mm
    MIPI_RX0_D0N, Signal Layers Only, 0mm
    MIPI_RX0_D0P, Signal Layers Only, 0mm
    MIPI_RX0_D1N, Signal Layers Only, 0mm
    MIPI_RX0_D1P, Signal Layers Only, 0mm
    MIPI_RX0_D2N, Signal Layers Only, 0mm
    MIPI_RX0_D2P, Signal Layers Only, 0mm
    MIPI_RX0_D3N, Signal Layers Only, 0mm
    MIPI_RX0_D3P, Signal Layers Only, 0mm
    MIPI_TX0_CLKN, Signal Layers Only, 52.0902mm
    MIPI_TX0_CLKP, Signal Layers Only, 54.3405mm
    MIPI_TX0_D0N, Signal Layers Only, 52.9966mm
    MIPI_TX0_D0P, Signal Layers Only, 54.94mm
    MIPI_TX0_D1N, Signal Layers Only, 53.7108mm
    MIPI_TX0_D1P, Signal Layers Only, 55.5891mm
    MIPI_TX0_D2N, Signal Layers Only, 56.8861mm
    MIPI_TX0_D2P, Signal Layers Only, 58.7451mm
    MIPI_TX0_D3N, Signal Layers Only, 57.4108mm
    MIPI_TX0_D3P, Signal Layers Only, 59.4096mm
    MIPI_TX1/RX1_CLKN, Signal Layers Only, 0mm
    MIPI_TX1/RX1_CLKP, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D0N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D0P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D1N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D1P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D2N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D2P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D3N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D3P, Signal Layers Only, 0mm
    NetC11_2, Signal Layers Only, 9.3465mm
    NetC143_1, Signal Layers Only, 5.7152mm
    NetC145_1, Signal Layers Only, 6.9518mm
    NetC157_2, Signal Layers Only, 8.3172mm
    NetC158_2, Signal Layers Only, 9.7841mm
    NetC168_1, Signal Layers Only, 2.9452mm
    NetC168_2, Signal Layers Only, 6.8406mm
    NetC171_2, Signal Layers Only, 9.6028mm
    NetC3_1, Signal Layers Only, 3.1282mm
    NetC3_2, Signal Layers Only, 4.2494mm
    NetC44_2, Signal Layers Only, 4.6185mm
    NetC45_2, Signal Layers Only, 3.1767mm
    NetC46_2, Signal Layers Only, 3.6081mm
    NetC48_1, Signal Layers Only, 6.1899mm
    NetC48_2, Signal Layers Only, 10.0255mm
    NetC49_1, Signal Layers Only, 4.2035mm
    NetC49_2, Signal Layers Only, 8.7153mm
    NetC53_1, Signal Layers Only, 4.0387mm
    NetC56_1, Signal Layers Only, 6.4054mm
    NetC65_1, Signal Layers Only, 7.208mm
    NetC66_1, Signal Layers Only, 3.0999mm
    NetC7_2, Signal Layers Only, 3.0861mm
    NetC8_1, Signal Layers Only, 2.3107mm
    NetC8_2, Signal Layers Only, 2.5658mm
    NetD1_1, Signal Layers Only, 9.5211mm
    NetD4_1, Signal Layers Only, 9.5221mm
    NetJ10_2, Signal Layers Only, 12.3849mm
    NetJ22_4, Signal Layers Only, 5.9545mm
    NetJ22_5, Signal Layers Only, 5.668mm
    NetJ2_6, Signal Layers Only, 28.5377mm
    NetJ46_2, Signal Layers Only, 0mm
    NetJ46_4, Signal Layers Only, 0mm
    NetJ7_1, Signal Layers Only, 0mm
    NetK1_1, Signal Layers Only, 16.9059mm
    NetL4_2, Signal Layers Only, 5.4284mm
    NetQ1_1, Signal Layers Only, 4.6142mm
    NetQ1_3, Signal Layers Only, 5.593mm
    NetQ2_1, Signal Layers Only, 4.2706mm
    NetR12_2, Signal Layers Only, 8.443mm
    NetR13_1, Signal Layers Only, 6.3404mm
    NetR16_1, Signal Layers Only, 3.1968mm
    NetR17_1, Signal Layers Only, 4.3571mm
    NetR29_2, Signal Layers Only, 10.1229mm
    NetR32_2, Signal Layers Only, 8.4735mm
    NetR33_2, Signal Layers Only, 6.6692mm
    NetR3_1, Signal Layers Only, 7.536mm
    PCIE_CLKREQN_U, Signal Layers Only, 0mm
    PCIE_REF_CLKN, Signal Layers Only, 0mm
    PCIE_REF_CLKP, Signal Layers Only, 0mm
    PCIE_RX0_N, Signal Layers Only, 0mm
    PCIE_RX0_P, Signal Layers Only, 0mm
    PCIE_RX1_N, Signal Layers Only, 0mm
    PCIE_RX1_P, Signal Layers Only, 0mm
    PCIE_RX2_N, Signal Layers Only, 0mm
    PCIE_RX2_P, Signal Layers Only, 0mm
    PCIE_RX3_N, Signal Layers Only, 0mm
    PCIE_RX3_P, Signal Layers Only, 0mm
    PCIE_TX0N, Signal Layers Only, 0mm
    PCIE_TX0P, Signal Layers Only, 0mm
    PCIE_TX1N, Signal Layers Only, 0mm
    PCIE_TX1P, Signal Layers Only, 0mm
    PCIE_TX2N, Signal Layers Only, 0mm
    PCIE_TX2P, Signal Layers Only, 0mm
    PCIE_TX3N, Signal Layers Only, 0mm
    PCIE_TX3P, Signal Layers Only, 0mm
    PHE_DET, Signal Layers Only, 46.8066mm
    PHY_INT, Signal Layers Only, 0mm
    PHY_PMEB, Signal Layers Only, 0mm
    PHY_RST, Signal Layers Only, 0mm
    PHY_TXCLK, Signal Layers Only, 0mm
    PHY_TXD0, Signal Layers Only, 0mm
    PHY_TXD1, Signal Layers Only, 0mm
    PHY_TXD2, Signal Layers Only, 0mm
    PHY_TXD3, Signal Layers Only, 0mm
    PHY_TXEN, Signal Layers Only, 0mm
    PORT_HPD, Signal Layers Only, 0mm
    POWER_EN, Signal Layers Only, 2.0787mm
    PWR_KEY, Signal Layers Only, 0mm
    PW_EN, Signal Layers Only, 86.3905mm
    RK3399_26M_OUT, Signal Layers Only, 0mm
    RST_KEY, Signal Layers Only, 3.4138mm
    RX2, Signal Layers Only, 92.9412mm
    RXD5, Signal Layers Only, 17.37mm
    RXD6, Signal Layers Only, 16.6767mm
    RXD7, Signal Layers Only, 26.6077mm
    RXD8, Signal Layers Only, 35.5496mm
